ZipCode,Month,Year,CustomerClass,Combined,TotalCustomers,TotalkWh,AveragekWh
92182,7,2024,I,Y,0,0,0
92182,7,2024,R,Y,0,0,0
92199,7,2024,A,Y,0,0,0
92199,7,2024,C,Y,0,0,0
92199,7,2024,I,Y,0,0,0
92199,7,2024,R,Y,0,0,0
92536,7,2024,A,Y,0,0,0
92536,7,2024,C,Y,0,0,0
92536,7,2024,I,Y,0,0,0
92536,7,2024,R,Y,0,0,0
92624,7,2024,A,Y,0,0,0
92624,7,2024,C,Y,0,0,0
92624,7,2024,I,Y,0,0,0
92624,7,2024,R,N,2870,1298332,452
92625,7,2024,A,Y,0,0,0
92629,7,2024,A,Y,0,0,0
92629,7,2024,C,Y,0,0,0
92629,7,2024,I,Y,0,0,0
92629,7,2024,R,N,13084,5807141,444
92649,7,2024,A,Y,0,0,0
92651,7,2024,A,Y,0,0,0
92651,7,2024,C,Y,0,0,0
92651,7,2024,I,Y,0,0,0
92651,7,2024,R,Y,1630,940283,577
92653,7,2024,A,Y,0,0,0
92653,7,2024,C,Y,0,0,0
92653,7,2024,I,Y,0,0,0
92653,7,2024,R,N,5716,4169292,729
92654,7,2024,A,Y,0,0,0
92654,7,2024,C,Y,0,0,0
92654,7,2024,I,Y,0,0,0
92654,7,2024,R,Y,0,0,0
92656,7,2024,A,Y,0,0,0
92656,7,2024,C,Y,0,0,0
92656,7,2024,I,Y,0,0,0
92656,7,2024,R,N,2262,1124864,497
92672,7,2024,A,Y,0,0,0
92672,7,2024,C,Y,0,0,0
92672,7,2024,I,Y,0,0,0
92672,7,2024,R,Y,15469,5787708,374
92673,7,2024,A,Y,0,0,0
92673,7,2024,C,N,766,6312151,8240
92673,7,2024,I,Y,0,0,0
92673,7,2024,R,N,10158,4713721,464
92674,7,2024,A,Y,0,0,0
92674,7,2024,C,Y,0,0,0
92674,7,2024,I,Y,0,0,0
92674,7,2024,R,Y,0,0,0
92675,7,2024,A,Y,0,0,0
92675,7,2024,C,Y,1319,9050285,6861
92675,7,2024,I,Y,0,0,0
92675,7,2024,R,Y,11919,6843723,574
92676,7,2024,A,Y,0,0,0
92676,7,2024,C,Y,0,0,0
92676,7,2024,I,Y,0,0,0
92676,7,2024,R,Y,0,0,0
92677,7,2024,A,Y,0,0,0
92677,7,2024,C,Y,1689,13563700,8031
92677,7,2024,I,Y,0,0,0
92677,7,2024,R,Y,22974,11685726,509
92679,7,2024,A,Y,0,0,0
92679,7,2024,C,Y,0,0,0
92679,7,2024,I,Y,0,0,0
92679,7,2024,R,N,3200,2734849,855
92688,7,2024,A,Y,0,0,0
92688,7,2024,C,Y,0,0,0
92688,7,2024,I,Y,0,0,0
92688,7,2024,R,N,1944,1092885,562
92690,7,2024,A,Y,0,0,0
92690,7,2024,C,Y,0,0,0
92690,7,2024,I,Y,0,0,0
92690,7,2024,R,Y,0,0,0
92691,7,2024,A,Y,0,0,0
92691,7,2024,C,Y,0,0,0
92691,7,2024,I,Y,0,0,0
92691,7,2024,R,Y,3893,2274766,584
92692,7,2024,A,Y,0,0,0
92692,7,2024,C,Y,0,0,0
92692,7,2024,I,Y,0,0,0
92692,7,2024,R,N,6306,3666852,581
92693,7,2024,A,Y,0,0,0
92693,7,2024,C,Y,0,0,0
92693,7,2024,I,Y,0,0,0
92693,7,2024,R,Y,0,0,0
92694,7,2024,A,Y,0,0,0
92694,7,2024,C,Y,0,0,0
92694,7,2024,I,Y,0,0,0
92694,7,2024,R,N,12893,7589570,589
91901,8,2024,A,Y,0,0,0
91901,8,2024,C,Y,0,0,0
91901,8,2024,I,Y,0,0,0
91901,8,2024,R,Y,2504,1745323,697
91902,8,2024,A,Y,0,0,0
91902,8,2024,C,Y,0,0,0
91902,8,2024,I,Y,0,0,0
91902,8,2024,R,N,997,543893,546
91905,8,2024,A,Y,0,0,0
91905,8,2024,C,Y,0,0,0
91905,8,2024,I,Y,0,0,0
91905,8,2024,R,Y,0,0,0
91906,8,2024,A,Y,0,0,0
91906,8,2024,C,Y,0,0,0
91906,8,2024,I,Y,0,0,0
91906,8,2024,R,Y,550,357685,650
91910,8,2024,A,Y,0,0,0
91910,8,2024,C,Y,486,7788020,16025
91910,8,2024,I,Y,0,0,0
91910,8,2024,R,Y,6846,2442526,357
91911,8,2024,A,Y,0,0,0
91911,8,2024,C,Y,670,7776742,11607
91911,8,2024,I,Y,0,0,0
91911,8,2024,R,Y,5853,2098721,359
91912,8,2024,A,Y,0,0,0
91912,8,2024,C,Y,0,0,0
91912,8,2024,I,Y,0,0,0
91912,8,2024,R,Y,0,0,0
91913,8,2024,A,Y,0,0,0
91913,8,2024,C,Y,0,0,0
91913,8,2024,I,Y,0,0,0
91913,8,2024,R,N,5988,3027535,506
91914,8,2024,A,Y,0,0,0
91914,8,2024,C,Y,0,0,0
91914,8,2024,I,Y,0,0,0
91914,8,2024,R,N,823,483308,587
91915,8,2024,A,Y,0,0,0
91915,8,2024,C,Y,0,0,0
91915,8,2024,I,Y,0,0,0
91915,8,2024,R,Y,3667,1930561,526
91916,8,2024,A,Y,0,0,0
91916,8,2024,C,Y,0,0,0
91916,8,2024,I,Y,0,0,0
91916,8,2024,R,Y,0,0,0
91917,8,2024,A,Y,0,0,0
91917,8,2024,C,Y,0,0,0
91917,8,2024,I,Y,0,0,0
91917,8,2024,R,Y,0,0,0
91931,8,2024,A,Y,0,0,0
91931,8,2024,C,Y,0,0,0
91931,8,2024,I,Y,0,0,0
91931,8,2024,R,Y,0,0,0
91932,8,2024,A,Y,0,0,0
91932,8,2024,C,N,125,629272,5034
91932,8,2024,I,Y,0,0,0
91932,8,2024,R,N,3658,1132813,310
91934,8,2024,A,Y,0,0,0
91934,8,2024,C,Y,0,0,0
91934,8,2024,I,Y,0,0,0
91934,8,2024,R,Y,0,0,0
91935,8,2024,A,Y,0,0,0
91935,8,2024,C,Y,0,0,0
91935,8,2024,I,Y,0,0,0
91935,8,2024,R,N,504,323373,642
91941,8,2024,A,Y,0,0,0
91941,8,2024,C,Y,0,0,0
91941,8,2024,I,Y,0,0,0
91941,8,2024,R,N,3158,1585522,502
91942,8,2024,A,Y,0,0,0
91942,8,2024,C,N,517,6180294,11954
91942,8,2024,I,Y,0,0,0
91942,8,2024,R,N,6296,2885099,458
91945,8,2024,A,Y,0,0,0
91945,8,2024,C,N,587,3361226,5726
91945,8,2024,I,Y,0,0,0
91945,8,2024,R,N,9101,4227362,464
91948,8,2024,A,Y,0,0,0
91948,8,2024,C,Y,0,0,0
91948,8,2024,I,Y,0,0,0
91948,8,2024,R,Y,0,0,0
91950,8,2024,A,Y,0,0,0
91950,8,2024,C,Y,533,7594649,14249
91950,8,2024,I,Y,0,0,0
91950,8,2024,R,Y,3174,1370742,432
91962,8,2024,A,Y,0,0,0
91962,8,2024,C,Y,0,0,0
91962,8,2024,I,Y,0,0,0
91962,8,2024,R,Y,0,0,0
91963,8,2024,A,Y,0,0,0
91963,8,2024,C,Y,0,0,0
